entity,source_row,legacy_id,reason
member,47,22262,"missing required name, phone, or gender"
member,64,22193,"missing required name, phone, or gender"
member,68,22153,"missing required name, phone, or gender"
member,97,21840,"missing required name, phone, or gender"
member,127,20590,"missing required name, phone, or gender"
member,131,20576,"missing required name, phone, or gender"
member,136,20548,"missing required name, phone, or gender"
member,156,20454,"missing required name, phone, or gender"
member,157,20453,"missing required name, phone, or gender"
member,158,20452,"missing required name, phone, or gender"
member,166,20410,"missing required name, phone, or gender"
member,183,19369,"missing required name, phone, or gender"
member,184,19368,"missing required name, phone, or gender"
member,197,19324,"missing required name, phone, or gender"
member,226,19159,"missing required name, phone, or gender"
member,267,18990,"missing required name, phone, or gender"
member,277,18933,"missing required name, phone, or gender"
member,293,18850,"missing required name, phone, or gender"
member,294,18846,"missing required name, phone, or gender"
member,307,18762,"missing required name, phone, or gender"
member,403,17873,"missing required name, phone, or gender"
member,417,17700,"missing required name, phone, or gender"
member,512,16513,"missing required name, phone, or gender"
member,514,16496,"missing required name, phone, or gender"
member,517,16487,"missing required name, phone, or gender"
member,930,11032,"missing required name, phone, or gender"
member,934,10985,"missing required name, phone, or gender"
member,1071,9506,"missing required name, phone, or gender"
member,1090,9404,"missing required name, phone, or gender"
member,1165,8750,"missing required name, phone, or gender"
member,1316,7267,"missing required name, phone, or gender"
member,1928,2587,"missing required name, phone, or gender"
member,1938,2535,"missing required name, phone, or gender"
member,1972,2372,"missing required name, phone, or gender"
member,1981,2337,"missing required name, phone, or gender"
member,1983,2328,"missing required name, phone, or gender"
member,2002,2308,duplicate phone; first valid member retained
member,2020,2290,duplicate phone; first valid member retained
member,2022,2288,duplicate phone; first valid member retained
member,2033,2277,"missing required name, phone, or gender"
member,2043,2267,"missing required name, phone, or gender"
member,2044,2266,"missing required name, phone, or gender"
member,2046,2264,"missing required name, phone, or gender"
member,2065,2245,"missing required name, phone, or gender"
member,2083,2227,"missing required name, phone, or gender"
member,2104,2206,"missing required name, phone, or gender"
member,2105,2205,"missing required name, phone, or gender"
member,2129,2181,duplicate phone; first valid member retained
member,2139,2171,"missing required name, phone, or gender"
member,2142,2168,"missing required name, phone, or gender"
member,2143,2167,"missing required name, phone, or gender"
member,2166,2144,"missing required name, phone, or gender"
member,2221,2089,"missing required name, phone, or gender"
member,2243,2067,"missing required name, phone, or gender"
member,2247,2062,"missing required name, phone, or gender"
member,2260,2049,"missing required name, phone, or gender"
member,2262,2047,"missing required name, phone, or gender"
member,2276,2033,"missing required name, phone, or gender"
member,2278,2031,"missing required name, phone, or gender"
member,2290,2019,"missing required name, phone, or gender"
member,2292,2017,"missing required name, phone, or gender"
member,2294,2015,"missing required name, phone, or gender"
member,2312,1996,"missing required name, phone, or gender"
member,2395,1912,duplicate phone; first valid member retained
member,2396,1911,"missing required name, phone, or gender"
member,2397,1910,"missing required name, phone, or gender"
member,2403,1903,duplicate phone; first valid member retained
member,2425,1881,"missing required name, phone, or gender"
member,2459,1847,duplicate phone; first valid member retained
member,2463,1843,duplicate phone; first valid member retained
member,2466,1840,"missing required name, phone, or gender"
member,2484,1822,"missing required name, phone, or gender"
member,2507,1799,"missing required name, phone, or gender"
member,2530,1776,"missing required name, phone, or gender"
member,2535,1771,duplicate phone; first valid member retained
member,2537,1769,"missing required name, phone, or gender"
member,2542,1764,duplicate phone; first valid member retained
member,2558,1748,"missing required name, phone, or gender"
member,2560,1746,"missing required name, phone, or gender"
member,2562,1744,duplicate phone; first valid member retained
member,2570,1735,"missing required name, phone, or gender"
member,2572,1733,duplicate phone; first valid member retained
member,2577,1727,"missing required name, phone, or gender"
member,2588,1716,"missing required name, phone, or gender"
member,2601,1703,"missing required name, phone, or gender"
member,2606,1698,"missing required name, phone, or gender"
member,2617,1687,"missing required name, phone, or gender"
member,2619,1685,"missing required name, phone, or gender"
member,2649,1655,duplicate phone; first valid member retained
member,2658,1646,"missing required name, phone, or gender"
member,2674,1630,"missing required name, phone, or gender"
member,2679,1625,duplicate phone; first valid member retained
member,2682,1622,"missing required name, phone, or gender"
member,2700,1604,"missing required name, phone, or gender"
member,2716,1588,"missing required name, phone, or gender"
member,2726,1578,"missing required name, phone, or gender"
member,2735,1569,"missing required name, phone, or gender"
member,2752,1552,"missing required name, phone, or gender"
member,2753,1551,"missing required name, phone, or gender"
member,2755,1539,duplicate phone; first valid member retained
subscription,130,5487,member not accepted
subscription,131,5486,package not matched locally
subscription,147,5469,package not matched locally
subscription,153,5463,paid amount exceeds net value
subscription,154,5462,package not matched locally
subscription,171,5445,package not matched locally
subscription,173,5443,paid amount exceeds net value
subscription,205,5411,package not matched locally
subscription,206,5410,member not accepted
subscription,237,5379,member not accepted
subscription,241,5375,package not matched locally
subscription,247,5369,member not accepted
subscription,290,5326,paid amount exceeds net value
subscription,317,5297,member not accepted
subscription,319,5295,paid amount exceeds net value
subscription,342,5271,paid amount exceeds net value
subscription,370,5242,member not accepted
subscription,374,5238,member not accepted
subscription,379,5233,member not accepted
subscription,392,5220,paid amount exceeds net value
subscription,438,5174,member not accepted
subscription,440,5172,package not matched locally
subscription,453,5159,package not matched locally
subscription,455,5157,member not accepted
subscription,494,5118,paid amount exceeds net value
subscription,495,5117,paid amount exceeds net value
