legacy_subscription_id,legacy_member_id,branch_id,subscription_number,subscription_type_id,subscription_type_name,registration_date,subscription_start_date,subscription_end_date,subscription_value,discount_value,paid_amount,remaining_amount,legacy_remaining_amount,legacy_receipt_number,legacy_status,notes
5616,17680,1,1736,29,8 sessions,2026-09-07,2026-09-07,2026-10-12,1600,0,1600,0,0,04115,Active,
5615,16360,1,1532,12,3 Months,2026-09-07,2026-09-07,2026-12-06,6500,0,6500,0,0,04114,Active,
5614,17293,1,1825,32,20 sessions,2026-09-07,2026-09-07,2026-11-16,3000,0,3000,0,0,004113,Active,
5613,22629,1,2059,30,12 sessions,2026-09-06,2026-09-06,2026-10-18,2100,0,2100,0,0,04112,Active,
5612,8797,1,1221,30,12 sessions,2026-09-06,2026-09-06,2026-10-18,2100,0,2100,0,0,04111,Active,
5611,13241,1,1769,32,20 sessions,2026-09-06,2026-09-07,2026-11-16,3000,0,3000,0,0,04110,Active,
5610,17978,1,1534,15,6 months,2026-09-06,2026-09-13,2027-03-12,8800,0,8800,0,0,04107,Postponed,
5609,18329,1,2062,15,6 months,2026-09-06,2026-09-06,2027-03-05,8800,0,8800,0,0,004106,Active,
5608,22217,1,2061,12,3 Months,2026-09-06,2026-09-06,2026-12-05,6500,0,6500,0,0,004104,Active,
5607,18605,1,1649,32,20 sessions,2026-09-06,2026-09-06,2026-11-15,3000,0,3000,0,0,04101,Active,
5606,18184,1,1581,32,20 sessions,2026-09-06,2026-09-06,2026-11-15,3000,0,3000,0,0,04100,Active,
5605,7821,1,639,8,1 month,2026-09-05,2026-09-05,2026-10-05,3000,0,3000,0,0,004099,Active,
5604,17754,1,1498,32,20 sessions,2026-09-05,2026-09-05,2026-11-14,3000,0,3000,0,0,04093,Active,
5603,20717,1,2060,17,annual membership,2026-09-05,2026-09-06,2027-09-06,12800,0,12800,0,0,04098,Active,
5602,22629,1,LEG-5602,8,1 month,2026-09-05,2026-09-05,2026-10-05,3000,0,3000,0,0,04097,Active,
5601,19118,1,1741,32,20 sessions,2026-09-05,2026-09-06,2026-11-15,3000,0,3000,0,0,04095,Active,
5600,17755,1,1499,39,youth program 20 sessions,2026-09-05,2026-09-06,2026-11-15,3000,0,3000,0,0,04096,Active,
5599,18498,1,2058,8,1 month,2026-09-05,2026-09-06,2026-10-06,3000,0,3000,0,0,04088,Active,
5598,11462,1,977,32,20 sessions,2026-09-05,2026-09-05,2026-11-14,3000,0,2900,100,100,04086,Active,
5597,12480,1,1369,32,20 sessions,2026-09-05,2026-09-05,2026-11-14,2500,0,2500,0,0,F04085,Active,
5596,12480,1,LEG-5596,15,6 months,2026-09-05,2026-09-06,2027-03-05,10400,0,10400,0,0,04085,Active,
5595,4206,1,276,12,3 Months,2026-09-05,2026-09-06,2026-12-05,5000,0,5000,0,0,04084,Active,
5594,22612,1,2057,8,1 month,2026-09-04,2026-09-16,2026-10-16,3000,0,3000,0,0,04079,Postponed,
5593,15470,1,1283,38,youth program 10 sessions,2026-09-04,2026-09-04,2026-10-16,2000,0,2000,0,0,04078,Active,
5592,19393,1,1830,39,youth program 20 sessions,2026-09-04,2026-09-04,2026-11-13,3000,0,3000,0,0,004077,Active,
5591,1438,1,2056,17,annual membership,2026-09-04,2026-09-04,2027-09-04,12800,0,12800,0,0,04076,Active,
5590,22601,1,2055,12,3 Months,2026-09-04,2026-09-04,2026-12-03,6500,0,6500,0,0,040,Active,
5589,6596,1,1903,30,12 sessions,2026-09-03,2026-09-04,2026-10-16,2100,0,2100,0,0,04073,Active,
5588,3729,1,199,15,6 months,2026-09-03,2026-09-06,2027-03-05,10400,0,800,9600,9600,04072,Active,
5587,18534,1,2054,12,3 Months,2026-09-03,2026-09-04,2026-12-03,5500,0,5500,0,0,04071,Active,
5586,8064,1,2053,8,1 month,2026-09-03,2026-09-03,2026-10-03,3000,0,3000,0,0,04070,Active,
5585,18610,1,1637,28,4 sessions,2026-09-03,2026-09-03,2026-10-01,1000,0,1000,0,0,,Active,
5584,14150,1,1220,32,20 sessions,2026-09-03,2026-09-03,2026-11-12,3000,0,3000,0,0,04068,Active,
5583,6153,1,488,32,20 sessions,2026-09-03,2026-09-04,2026-11-13,3000,0,2000,1000,1000,04066,Active,
5582,1818,1,250,32,20 sessions,2026-09-03,2026-09-03,2026-11-12,3000,0,3000,0,0,04061,Active,
5581,2194,1,4,17,annual membership,2026-09-03,2026-09-02,2027-09-02,10500,0,10500,0,0,04048,Active,
5580,22591,1,2052,12,3 Months,2026-09-02,2026-09-03,2026-12-02,6500,0,6500,0,0,004059,Active,
5579,6997,1,1106,32,20 sessions,2026-09-02,2026-09-03,2026-11-12,3000,0,3000,0,0,04057,Active,
5578,22585,1,2051,12,3 Months,2026-09-02,2026-09-03,2026-12-02,5000,0,5000,0,0,04053,Active,
5577,3862,1,212,8,1 month,2026-09-02,2026-09-02,2026-10-02,3000,0,3000,0,0,004051,Active,
5576,3862,1,LEG-5576,30,12 sessions,2026-09-02,2026-09-02,2026-10-14,2100,0,2100,0,0,04051,Active,
5575,3958,1,213,8,1 month,2026-09-02,2026-09-02,2026-10-02,3000,0,3000,0,0,004052,Active,
5574,3958,1,LEG-5574,30,12 sessions,2026-09-02,2026-09-02,2026-10-14,2100,0,2100,0,0,04052,Active,
5573,22571,1,2050,39,youth program 20 sessions,2026-09-01,2026-09-01,2026-11-10,3000,0,3000,0,0,04047,Active,
5572,5090,1,2049,17,annual membership,2026-09-01,2026-09-15,2027-09-15,12800,0,11000,1800,1800,04044,Postponed,
